pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2025-10-16,2025-10-17,test,3,0.819959,0.4017,0.15,0.2517,3566.71,420613.2,1420613.2
2025-10-17,2025-10-20,test,2,0.838394,1.89945,0.15,1.74945,24852.92,445466.11,1445466.11
2025-10-20,2025-10-21,test,7,0.830655,0.655043,0.15,0.505043,7300.22,452766.34,1452766.34
2025-10-23,2025-10-24,test,1,0.846251,0.0,0.15,-0.15,-2179.15,450587.19,1450587.19
2025-10-24,2025-10-27,test,3,0.843635,0.443833,0.15,0.293833,4262.31,454849.5,1454849.5
2025-10-27,2025-10-28,test,4,0.823092,0.435125,0.15,0.285125,4148.14,458997.64,1458997.64
2025-10-28,2025-10-29,test,4,0.825506,0.4248,0.15,0.2748,4009.33,463006.96,1463006.96
2025-10-29,2025-10-30,test,11,0.82192,0.190582,0.15,0.040582,593.71,463600.68,1463600.68
2025-10-30,2025-10-31,test,6,0.816368,0.540017,0.15,0.390017,5708.29,469308.96,1469308.96
2025-10-31,2025-11-03,test,2,0.806504,0.2774,0.15,0.1274,1871.9,471180.86,1471180.86
2025-11-03,2025-11-04,test,4,0.81519,0.30705,0.15,0.15705,2310.49,473491.35,1473491.35
2025-11-04,2025-11-06,test,3,0.817232,-0.082433,0.15,-0.232433,-3424.89,470066.47,1470066.47
2025-11-06,2025-11-07,test,3,0.822229,-0.490833,0.15,-0.640833,-9420.68,460645.79,1460645.79
2025-11-07,2025-11-10,test,4,0.83994,0.159525,0.15,0.009525,139.13,460784.92,1460784.92
2025-11-10,2025-11-11,test,3,0.818988,1.077,0.15,0.927,13541.48,474326.39,1474326.39
2025-11-11,2025-11-12,test,6,0.814928,0.389867,0.15,0.239867,3536.42,477862.81,1477862.81
2025-11-12,2025-11-13,test,3,0.876177,1.007333,0.15,0.857333,12670.21,490533.02,1490533.02
2025-11-13,2025-11-14,test,1,0.87415,0.382,0.15,0.232,3458.04,493991.06,1493991.06
2025-11-14,2025-11-17,test,13,0.822245,0.374754,0.15,0.224754,3357.8,497348.86,1497348.86
2025-11-17,2025-11-18,test,5,0.829489,0.19312,0.15,0.04312,645.66,497994.52,1497994.52
2025-11-18,2025-11-19,test,2,0.845982,0.27795,0.15,0.12795,1916.68,499911.2,1499911.2
2025-11-19,2025-11-20,test,8,0.817016,0.550312,0.15,0.400312,6004.33,505915.53,1505915.53
2025-11-20,2025-11-21,test,6,0.825021,-0.1632,0.15,-0.3132,-4716.53,501199.01,1501199.01
2025-11-21,2025-11-24,test,1,0.890406,0.8024,0.15,0.6524,9793.82,510992.83,1510992.83
2025-11-24,2025-11-25,test,2,0.878825,0.3938,0.15,0.2438,3683.8,514676.63,1514676.63
2025-11-25,2025-11-26,test,2,0.849464,0.66795,0.15,0.51795,7845.27,522521.9,1522521.9
2025-11-26,2025-11-27,test,2,0.855534,0.6029,0.15,0.4529,6895.5,529417.4,1529417.4
2025-11-27,2025-11-28,test,2,0.804014,0.1532,0.15,0.0032,48.94,529466.34,1529466.34
